student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,profile_json
1,Claudia Short , 20 ,,,+1-619-379-4152x102,Katieland,someonegmail.com,1662247364,Data Science,,active,3.72,good,$135,1629312830,"Apartment 37, South Kevin district, Tashkent, UZ, 100539","{'hobbies': ['gun', 'nice'], 'skills': {'tech': {'python': 2, 'excel': 5, 'sql': 1}, 'soft': ['with', 'onto']}, 'family': {'siblings': 4, 'income': {'father': 1198, 'mother': 1089}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2021}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2021}]}"
2,, 20 ,Female,ninety,,Dawnburgh,   psmith@chen.com  ,2017/08/29,Data Science,,active,1.88,excellent,$152,11/10/2001 04:19 AM,UZ 100332 Tashkent South Patricia,"{hobbies:['against', 'good']}"
3,Kathryn Moyer , 20 ,,ninety,,Lake Stevenmouth,,2017-08-14,DATA SCIENCE,,pending,,  excellent  ,185.0,1657837622,"Wendyshire 12-kv, dom 1, Tashkent","{'hobbies': ['fast', 'clearly'], 'skills': {'tech': {'python': 5, 'excel': 3, 'sql': 1}, 'soft': ['despite', 'clearly']}, 'family': {'siblings': 1, 'income': {'father': 263, 'mother': 202}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2020}, {'type': 'phone', 'brand': 'Samsung', 'year': 2023}]}"
4,Ruben Wilson,twenty,fmale,81,,Port Pamelafort,special,1973-09-17,data-sciens,,inactive,0,good,175 USD,1682795130,"Apartment 16, North Tamara district, Tashkent, UZ, 100097","{'hobbies': ['left', 'role'], 'skills': {'tech': {'python': 3, 'excel': 5, 'sql': 1}, 'soft': ['full', 'series']}, 'family': {'siblings': 4, 'income': {'father': 508, 'mother': 698}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2020}, {'type': 'phone', 'brand': 'Samsung', 'year': 2024}]}"
5,Robert Pruitt,20,Female,,001-182-659-5631x02803,Kingburgh,six,2023/11/25,data_sciense,,pending,4.37,average,$282,2013-10-13,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['sort', 'science'], 'skills': {'tech': {'python': 1, 'excel': 4, 'sql': 1}, 'soft': ['whose', 'save']}, 'family': {'siblings': 3, 'income': {'father': 862, 'mother': 1058}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2022}]}"
6,David Martinez,20,Male,ninety,001-074-828-6016x937,Hugheshaven,nathangibbs@hotmail.com,1603493647,DATA SCIENCE,110,pending,15.5,average,"85,00",1983-04-30T01:46:36,"Apartment 42, North Jamesfurt district, Tashkent, UZ, 100551","{hobbies:['order', 'keep']}"
7,,18 years,FEMALE,71,314.018.0928x3134,Sharpfurt,nguyenlisa@@horn.org,1982-01-16,data science,,active,0,excellent,275.0,19/11/2004 11:42 PM,"Lake Tracishire 29-kv, dom 8, Tashkent","{'hobbies': ['fall', 'teacher'], 'skills': {'tech': {'python': 4, 'excel': 1, 'sql': 4}, 'soft': ['teacher', 'good']}, 'family': {'siblings': 3, 'income': {'father': 1270, 'mother': 931}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2018}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2023}]}"
8,Nicholas Dennis,21,FEMALE,ninety,8091556011,Matthewfort,avoid,2000.06.26,python,63,active,four point five,excellent,135,1978/09/23,"70576 Butler Harbor Suite 847, Janetberg",INVALID_JSON_DATA
9,,twenty,fmale,77,854-964-5423,South Paulchester,stacysmith@taylor.biz,2000-03-15,ds,110%,active,15.5,  excellent  ,104 USD,1995-10-20,"Williamsborough 2-kv, dom 18, Tashkent","{'hobbies': ['require', 'open'], 'skills': {'tech': {'python': 1, 'excel': 5, 'sql': 4}, 'soft': ['partner', 'walk']}, 'family': {'siblings': 0, 'income': {'father': 850, 'mother': 1062}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2019}, {'type': 'phone', 'brand': 'Apple', 'year': 2020}]}"
10,Elizabeth Villegas,22,femlae,,(205)467-4476x0583,South Dianatown,anthonywalker@@gmail.com,2013-02-11T07:12:29,data_sciense,99,inactive,"3,7",average,"215,00",2014-12-16T06:44:51,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['management', 'to'], 'skills': {'tech': {'python': 1, 'excel': 1, 'sql': 4}, 'soft': ['beat', 'southern']}, 'family': {'siblings': 3, 'income': {'father': 597, 'mother': 1150}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2016}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2023}]}"
11,Shawn Baker ,19,,,9868509629,Zhangstad,stand,2025-06-10,data science,110%,active,"3,7",  excellent  ,"183,00",2001-06-06T05:29:47,"Apartment 34, North Samantha district, Tashkent, UZ, 100659",INVALID_JSON_DATA
12,,18,femlae,71,,Austinside,annalee@@gmail.com,14/01/2013 07:16 PM,d.s.,110%,inactive,-2,average,208,2003-05-27,"Apartment 13, Morrismouth district, Tashkent, UZ, 100315","{hobbies:['forward', 'like']}"
13,,19,fmale,ninety,(223)573-6311x916,Lesliefurt,someonegmail.com,2014-12-24,data science,110,inactive,four point five,  excellent  ,84.0,2010/11/21,"Frankchester 9-kv, dom 20, Tashkent",INVALID_JSON_DATA
14,Thomas Prince,20,,,,East Michellestad,aphillips@holland-diaz.org,2012-02-09,PYTHNO,114,inactive,15.5,excellent,210 USD,2013.05.14,UZ 100394 Tashkent Stevensborough,"{hobbies:['understand', 'become']}"
15,,21,MALE,73,,Michellebury,kevin65@maxwell.info,1971-03-17T08:30:18,python,110%,pending,"3,7",good,$191,1984-10-29T14:14:47,"Davidborough 9-kv, dom 29, Tashkent",INVALID_JSON_DATA
16,Adrian Allen, 20 ,FEMALE,,,Antoniobury,,1999-08-29,PYTHNO,110%,pending,"3,7",excellent,53 USD,1983/10/13,"1965 Jacobs Branch Apt. 418, Timburgh","{'hobbies': ['partner', 'race'], 'skills': {'tech': {'python': 4, 'excel': 4, 'sql': 4}, 'soft': ['onto', 'owner']}, 'family': {'siblings': 3, 'income': {'father': 798, 'mother': 626}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2019}, {'type': 'phone', 'brand': 'Apple', 'year': 2022}]}"
17,Stephen Lyons,19,,76,,New Adam,yourself,13/10/2009 02:20 AM,data-sciens,110%,active,four point five,good,USD 110,1984-12-04T09:17:45,UZ 100399 Tashkent Joehaven,"{'hobbies': ['nothing', 'community'], 'skills': {'tech': {'python': 1, 'excel': 1, 'sql': 5}, 'soft': ['wear', 'will']}, 'family': {'siblings': 1, 'income': {'father': 772, 'mother': 498}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2021}]}"
18,Zachary Lyons ,18,male,68,(242)552-5722,Chenport,sport,2003.09.25,data_sciense,110%,inactive,four point five,average,$138,1997/08/27,"Apartment 22, Port Kevin district, Tashkent, UZ, 100106",INVALID_JSON_DATA
19,, 20 ,fmale,50,+1-179-099-6883,West Danaville,down,1974/02/20,data_sciense,110%,active,3.05,excellent,"66,00",1976-05-07,"BROKEN,ADDRESS,DATA,,,",INVALID_JSON_DATA
20,Anthony Hardy , 20 ,male,ninety,669-272-8730x1241,Kimport,voice,20/05/1973 07:05 PM,ds,65,pending,four point five,  excellent  ,USD 218,1627024993,"Masontown 10-kv, dom 21, Tashkent","{'hobbies': ['certainly', 'defense'], 'skills': {'tech': {'python': 5, 'excel': 2, 'sql': 4}, 'soft': ['medical', 'quality']}, 'family': {'siblings': 4, 'income': {'father': 1220, 'mother': 1220}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2018}, {'type': 'phone', 'brand': 'Apple', 'year': 2019}]}"
21,Hector Beltran,20,male,52,,North Harry,   preid@hotmail.com  ,2010/02/02,DATA SCIENCE,110%,active,15.5,good,153 USD,1983-03-31T17:15:15,"BROKEN,ADDRESS,DATA,,,",INVALID_JSON_DATA
22,Tara Nguyen ,22,,73,038.874.2999x225,Brittanychester,rrodriguez@@newman.com,2000-06-04T17:46:54,Pyhton,78,inactive,four point five,excellent,174.0,2020.11.26,UZ 100063 Tashkent Lake Shaneland,"{'hobbies': ['create', 'accept'], 'skills': {'tech': {'python': 1, 'excel': 3, 'sql': 1}, 'soft': ['new', 'manager']}, 'family': {'siblings': 3, 'income': {'father': 1140, 'mother': 1117}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2016}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2018}]}"
23,Jessica Robinson ,22,Male,ninety,+1-169-715-0937x68300,Jonesfurt,,05/10/2010 12:48 PM,ds,81,inactive,"3,7",good,"261,00",2005/06/09,"0451 James Cliffs Suite 725, Wagnermouth","{hobbies:['type', 'beautiful']}"
24,Latoya Williams,18 years,male,60,,North Ashleyborough,,08/06/2021 11:33 AM,data science,110%,pending,"3,7",  excellent  ,"148,00",1636732770,"0258 Sean Keys Apt. 380, Kevinfort","{'hobbies': ['step', 'section'], 'skills': {'tech': {'python': 1, 'excel': 5, 'sql': 3}, 'soft': ['beat', 'popular']}, 'family': {'siblings': 0, 'income': {'father': 1376, 'mother': 871}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2022}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2019}]}"
25,,21,,ninety,,Donnaview,urodriguez@@ferrell.com,2025-03-08,data science,,pending,15.5,excellent,$135,16/07/2000 01:07 PM,"06462 Buck Springs Apt. 169, North Lisa","{'hobbies': ['phone', 'consider'], 'skills': {'tech': {'python': 1, 'excel': 3, 'sql': 2}, 'soft': ['must', 'around']}, 'family': {'siblings': 0, 'income': {'father': 1453, 'mother': 206}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2019}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2020}]}"
26,,21,fmale,ninety,,Harrisbury,about,1658166180,ds,96,pending,15.5,good,"299,00",2001/02/12,"Apartment 20, Lake Crystal district, Tashkent, UZ, 100119","{'hobbies': ['tough', 'role'], 'skills': {'tech': {'python': 3, 'excel': 1, 'sql': 2}, 'soft': ['south', 'his']}, 'family': {'siblings': 1, 'income': {'father': 623, 'mother': 577}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2022}, {'type': 'phone', 'brand': 'Apple', 'year': 2019}]}"
27,Emily Cummings,22,female,59,,East Dariuston,direction,1682705161,python,,inactive,1.18,average,245.0,24/12/2000 12:42 AM,"Apartment 27, South David district, Tashkent, UZ, 100696","{""hobbies"": [""billion"", ""feeling""], ""skills"": {""tech"": {""python"": 3, ""excel"": 1, ""sql"": 3}, ""soft"": [""thought"", ""particularly""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 303, ""mother"": 1245}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2023}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2023}]}"
28,Brandy Powell ,twenty,,87,404.233.0292x9740,Oconnellburgh,benjamincollins@@davis.info,2000-07-27,Pyhton,107,inactive,,excellent,$285,31/07/2014 11:40 AM,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['energy', 'however'], 'skills': {'tech': {'python': 2, 'excel': 1, 'sql': 3}, 'soft': ['either', 'plan']}, 'family': {'siblings': 4, 'income': {'father': 1105, 'mother': 1106}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Samsung', 'year': 2022}]}"
29,,21,male,88,(521)168-1029x21287,West Rachel,elizabeth49@yahoo.com,2014-09-19,ds,,inactive,,,295 USD,1992-05-20,"241 Sarah Spring, Bridgetton",INVALID_JSON_DATA
30,Jaime Rowe,,femlae,69,046-892-9598x929,Shepardmouth,   eolson@carr.net  ,1972-01-29T01:01:06,Data Science,64,pending,"3,7",average,$294,1650790459,"Port Robertstad 16-kv, dom 50, Tashkent","{'hobbies': ['woman', 'wear'], 'skills': {'tech': {'python': 4, 'excel': 5, 'sql': 3}, 'soft': ['reduce', 'than']}, 'family': {'siblings': 4, 'income': {'father': 1291, 'mother': 913}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2024}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2019}]}"
31,Brianna Castro ,21,,ninety,,East Regina,?ali@@gmail..com,13/10/2007 09:29 AM,data science,110%,pending,-2,average,63,1970/09/12,"BROKEN,ADDRESS,DATA,,,",INVALID_JSON_DATA
32,April Johnson ,20,male,ninety,0548293587,Andersontown,daniel21@@hotmail.com,1637975592,PYTHNO,110%,active,-2,good,USD 289,2022-04-21T06:18:32,"Apartment 42, Christineburgh district, Tashkent, UZ, 100686","{'hobbies': ['material', 'relate'], 'skills': {'tech': {'python': 5, 'excel': 3, 'sql': 3}, 'soft': ['against', 'history']}, 'family': {'siblings': 4, 'income': {'father': 1124, 'mother': 1323}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2018}]}"
33,Joyce Franklin, 20 ,FEMALE,60,618.090.5816x281,South Brittany,exist,2000-06-29T21:16:26,Data Science,66,inactive,15.5,  excellent  ,$57,1982.05.31,"New Antonio 12-kv, dom 41, Tashkent","{""hobbies"": [""run"", ""case""], ""skills"": {""tech"": {""python"": 4, ""excel"": 2, ""sql"": 3}, ""soft"": [""rock"", ""never""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 1009, ""mother"": 1369}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2022}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2020}]}"
34,,20,female,,,Hillmouth,?ali@@gmail..com,1983/05/24,data_sciense,67,active,"3,7",  excellent  ,"172,00",1975.06.08,UZ 100883 Tashkent West Michaelport,"{'hobbies': ['decide', 'least'], 'skills': {'tech': {'python': 5, 'excel': 5, 'sql': 2}, 'soft': ['mouth', 'laugh']}, 'family': {'siblings': 4, 'income': {'father': 763, 'mother': 1393}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2019}, {'type': 'phone', 'brand': 'Samsung', 'year': 2020}]}"
35,,22,FEMALE,,(356)552-3035x22091,North Maryfort,,25/01/2008 08:03 PM,data science,110%,pending,-2,,USD 136,30/08/1998 02:53 AM,UZ 100652 Tashkent Lake Donaldton,INVALID_JSON_DATA
36,,22,,87,001-893-021-7782x51647,North Gerald,?ali@@gmail..com,2018/11/11,python,110%,inactive,15.5,average,$202,2024/12/18,"North Amy 11-kv, dom 49, Tashkent","{""hobbies"": [""stay"", ""even""], ""skills"": {""tech"": {""python"": 3, ""excel"": 5, ""sql"": 3}, ""soft"": [""generation"", ""group""]}, ""family"": {""siblings"": 1, ""income"": {""father"": 219, ""mother"": 1344}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2017}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2021}]}"
37,Jeremy Fry ,18,femlae,ninety,(773)180-2562x2965,New Kent,mccoyandrew@yahoo.com,1693436225,data science,110%,pending,four point five,average,USD 157,1971.02.04,"Apartment 49, New Ian district, Tashkent, UZ, 100606","{hobbies:['score', 'bar']}"
38,Christopher Sosa , 20 ,male,ninety,001-138-648-1737x665,New Aliceland,stock,2022.08.12,d.s.,67,active,,  excellent  ,$242,1970-02-17T19:58:04,"Apartment 22, Youngton district, Tashkent, UZ, 100192","{""hobbies"": [""art"", ""learn""], ""skills"": {""tech"": {""python"": 3, ""excel"": 2, ""sql"": 3}, ""soft"": [""write"", ""alone""]}, ""family"": {""siblings"": 2, ""income"": {""father"": 1354, ""mother"": 448}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2024}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2020}]}"
39,David Duke ,20,fmale,,526-677-6949,Harrishaven,baguilar@@hotmail.com,2004/09/26,python,110%,active,,excellent,159 USD,2022-05-25T01:20:33,UZ 100766 Tashkent Port William,"{hobbies:['challenge', 'trouble']}"
40,Sara Page , 20 ,fmale,71,,West William,edgar27@phillips-martin.info,1648273517,python,110%,inactive,,,USD 140,1993.10.06,"73317 Timothy Port Suite 163, Dicksonbury","{""hobbies"": [""imagine"", ""middle""], ""skills"": {""tech"": {""python"": 3, ""excel"": 4, ""sql"": 4}, ""soft"": [""begin"", ""movement""]}, ""family"": {""siblings"": 5, ""income"": {""father"": 270, ""mother"": 255}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2020}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2021}]}"
41,,19,male,,,West Georgefort,,1975-12-17,data_sciense,,active,15.5,average,225,1617417788,"4613 Robert Cliff Suite 875, South Leslie","{""hobbies"": [""particular"", ""turn""], ""skills"": {""tech"": {""python"": 1, ""excel"": 4, ""sql"": 2}, ""soft"": [""trip"", ""toward""]}, ""family"": {""siblings"": 5, ""income"": {""father"": 1364, ""mother"": 1312}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""HP"", ""year"": 2017}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2019}]}"
